18, 9, 2
417, 2, 1
433, 21, 2
192, 22, 1
75, 28, 0
37, 9, 1
101, 25, 1
268, 23, 0
10, 12, 2
97, 16, 1
407, 21, 1
22, 23, 2
157, 21, 1
69, 21, 2
318, 14, 2
231, 24, 2
21, 8, 1
17, 18, 0
135, 14, 1
185, 6, 1
167, 7, 2
353, 2, 2
69, 16, 0
339, 24, 1
361, 19, 1
166, 20, 2
318, 27, 2
270, 28, 1
168, 17, 1
11, 7, 0
290, 21, 1
89, 15, 2
158, 15, 2
161, 8, 2
95, 20, 2
156, 6, 0
67, 16, 0
263, 12, 2
34, 6, 1
158, 21, 2
371, 25, 1
247, 2, 0
77, 19, 0
230, 6, 2
425, 24, 2
147, 17, 2
295, 6, 0
106, 29, 2
367, 27, 2
331, 26, 2
291, 10, 0
279, 26, 0
32, 25, 1
162, 7, 1
143, 22, 1
224, 12, 1
401, 6, 2
257, 20, 2
349, 10, 2
15, 14, 2
133, 1, 0
245, 15, 1
17, 7, 0
434, 28, 2
362, 14, 0
95, 18, 2
17, 27, 2
88, 22, 0
33, 0, 2
271, 12, 1
419, 27, 2
44, 4, 0
64, 5, 0
419, 18, 2
168, 26, 1
115, 2, 2
423, 24, 0
121, 14, 0
92, 9, 0
399, 17, 2
202, 10, 2
359, 19, 0
290, 0, 1
61, 17, 2
180, 19, 1
111, 10, 1
174, 15, 2
0, 7, 0
236, 1, 2
237, 28, 2
149, 11, 1
49, 18, 0
383, 28, 1
339, 16, 2
336, 4, 2
70, 14, 1
423, 3, 0
281, 20, 1
83, 4, 1
81, 11, 2

